"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS","GDP_real"
"1",85,2007-01-01,-0.0801466763600143,0.268284444700638,0.208405245126158,0.246967882377782,0.25222294476661,0.184310956922628,0.383871199038999,0.140833021829748,-0.0569476694127681,0.235313765255349,0.291171986290207,-0.0279665992816642,0.313068016227031
"2",85,2007-01-02,-0.0873310873595939,0.202992331015805,0.103869322890952,0.130802990967013,0.399243775006159,0.186341053767289,0.380500484308905,0.140833021829748,-0.0493953634739937,0.230581451942024,0.289785140073431,-0.0230730689341364,0.313068016227031
"3",85,2007-01-03,-0.0930786161592575,0.202696790319057,0.0396330171165268,0.251911069246326,0.0925795965560074,0.123831392465955,0.355860727717632,0.140833021829748,-0.0403325963474642,0.240046078568674,0.283837947627585,-0.0464693013264958,0.313068016227031
"4",85,2007-01-04,-0.108884320358332,0.211068887376209,0.226252177236395,0.0517120010703193,0.144460986075895,0.181274437247664,0.373374436024647,0.140833021829748,-0.0403325963474642,0.235313765255349,0.287600151417177,-0.040166927322968,0.313068016227031
"5",85,2007-01-05,-0.103136791558669,0.211044632691615,0.401713237305954,0.195064420258077,0.22055412762278,0.123381586150454,0.370564045577913,0.140833021829748,-0.0478849022862387,0.244778391882,0.286470832160944,-0.0335851586964379,0.313068016227031
"6",85,2007-01-06,-0.103136791558669,0.193192661635979,0.401713237305954,0.195064420258077,0.22055412762278,0.123381586150454,0.370564045577913,0.140833021829748,-0.0478849022862387,0.244778391882,0.286470832160944,-0.0267223559414757,0.313068016227031
"7",85,2007-01-07,-0.103136791558669,0.2706528237871,0.401713237305954,0.195064420258077,0.22055412762278,0.123381586150454,0.370564045577913,0.140833021829748,-0.0478849022862387,0.244778391882,0.286470832160944,-0.0195758979369252,0.313068016227031
"8",85,2007-01-08,-0.0973892627590052,0.157097112302256,0.166607187576835,0.340888432880106,0.271558738238697,0.121899076008826,0.340764547696469,0.141225311973569,-0.0403325963474642,0.25424301850865,0.280447384311955,0.0338580421280871,0.313068016227031
"9",85,2007-01-09,-0.084457322959762,0.256978717172547,-0.0435725688685106,0.0986722763214812,0.195516470700178,0.141695178808476,0.316819472786832,0.141225311973569,-0.0297593680331799,0.258975331821976,0.294269374501338,-0.00443428724119632,0.313068016227031
"10",85,2007-01-10,-0.084457322959762,0.143945707103337,0.136508826205834,0.123388210664198,0.2663123568214,0.265260604882185,0.316075424085815,0.137694700679176,-0.0297593680331799,0.263707645135301,0.288327479201262,0.00332077338321485,0.313068016227031
"11",85,2007-01-11,-0.0887679695595096,0.211068887376209,0.200712138584044,0.182706453086718,0.210062272215046,0.303655033249845,0.315780721354904,0.138479280966819,-0.0667494097888949,0.263707645135301,0.289179628033358,0.0110059133051972,0.313068016227031
"12",85,2007-01-12,-0.0916417339593416,0.297350466858372,0.110201516937735,0.15551892530973,0.242767790250002,0.226547433269348,0.323436896705518,0.138479280966819,-0.0680207987105903,0.287369211701928,0.281439925530054,0.0189699992040171,0.313068016227031
"13",85,2007-01-13,-0.0916417339593416,0.153600413749435,0.110201516937735,0.15551892530973,0.242767790250002,0.226547433269348,0.323436896705518,0.138479280966819,-0.0680207987105903,0.287369211701928,0.281439925530054,0.0272161293385076,0.313068016227031
"14",85,2007-01-14,-0.0916417339593416,0.308765503137735,0.110201516937735,0.15551892530973,0.242767790250002,0.226547433269348,0.323436896705518,0.138479280966819,-0.0680207987105903,0.287369211701928,0.281439925530054,0.0669635933542195,0.313068016227031
"15",85,2007-01-15,-0.0959523805590894,0.200717397395828,0.17157530352988,0.311229311668846,0.208171553112735,0.17543938409644,0.311740322667551,0.138479280966819,-0.062568544920297,0.296833838328579,0.282565199961184,0.0790213274182416,0.313068016227031
"16",85,2007-01-16,-0.100263027158837,0.128702392155893,0.104595163465568,0.494127225804951,0.356081387018517,0.189133234875683,0.308065100019391,0.138479280966819,-0.0655505356243193,0.315763091581881,0.286101392645806,0.0539195940829546,0.313068016227031
"17",85,2007-01-17,-0.103136791558669,0.185921646281055,-0.159070618629559,-0.136129099934329,0.336163300787097,0.19664925274208,0.281136670429666,0.138479280966819,-0.0685325263283416,0.311030778268555,0.289708162439527,0.0638830708078281,0.313068016227031
"18",85,2007-01-18,-0.106010555958501,0.211068887376209,0.427227307659724,0.0591267813731343,0.160337562461421,0.154081916069428,0.318751404123999,0.138479280966819,-0.0610775495682859,0.329960031521857,0.288762519194811,0.074117496362505,0.313068016227031
"19",85,2007-01-19,-0.106010555958501,0.211617230069161,0.416953964445652,0.494127225804951,0.150515081142975,0.0906391895190511,0.372750445771118,0.138479280966819,-0.0521315774562189,0.329960031521857,0.294246330725908,0.0842503424193167,0.313068016227031
"20",85,2007-01-20,-0.106010555958501,0.276773725332534,0.416953964445652,0.494127225804951,0.150515081142975,0.0906391895190511,0.372750445771118,0.138479280966819,-0.0521315774562189,0.329960031521857,0.294246330725908,0.094284955317446,0.313068016227031
"21",85,2007-01-21,-0.106010555958501,0.191886340535536,0.416953964445652,0.494127225804951,0.150515081142975,0.0906391895190511,0.372750445771118,0.138479280966819,-0.0521315774562189,0.329960031521857,0.294246330725908,0.104223240677512,0.313068016227031
"22",85,2007-01-22,-0.0930786161592575,0.215090498247285,0.153139991913213,0.328530465708748,0.157078868876349,0.0513239624422737,0.358111140064456,0.13887157111064,-0.0521315774562189,0.329960031521857,0.292932900382933,0.179648557401105,0.313068016227031
